"Do you think that the following statement is true or false?  ""A stock mutual fund combines the money of many investors to buy a variety of stocks.""",0,pb727kvg,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, with the money in this account, would you be able to buy",2,mi0088eg,vmu7c279,FULL STUDY,22,Male,undergraduate: 3d year
"Do you think that the following statement is true or false? ""Bonds are normally riskier than stocks.""",1,mi0088eg,vmu7c279,FULL STUDY,22,Male,undergraduate: 3d year
"A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less.",0,mi0088eg,vmu7c279,FULL STUDY,22,Male,undergraduate: 3d year
"Normally, which asset described below displays the highest fluctuations over time?",1,mi0088eg,vmu7c279,FULL STUDY,22,Male,undergraduate: 3d year
"When an investor spreads his money among different assets, does the risk of losing a lot of money",2,mi0088eg,vmu7c279,FULL STUDY,22,Male,undergraduate: 3d year
"Considering  a  long  time  period  (for  example,  10  or 20  years),  which  asset  described  below  normally  gives  the highest return?",1,mi0088eg,vmu7c279,FULL STUDY,22,Male,undergraduate: 3d year
"Do you think that the following statement is true or false?  ""A stock mutual fund combines the money of many investors to buy a variety of stocks.""",0,mi0088eg,vmu7c279,FULL STUDY,22,Male,undergraduate: 3d year
Which of the following statements is correct?,1,mi0088eg,vmu7c279,FULL STUDY,22,Male,undergraduate: 3d year
Which  of  the  following  statements  is  correct? If somebody buys a bond of firm B,2,mi0088eg,vmu7c279,FULL STUDY,22,Male,undergraduate: 3d year
"Suppose  you  owe  $3,000  on  your  credit  card.  You pay a minimum payment of $30 each month. At an annual percentage rate of 12% (or 1% per month), how many years would it take to eliminate your credit card debt if you made no additional new charges?",3,mi0088eg,vmu7c279,FULL STUDY,22,Male,undergraduate: 3d year
Which of the following statements is correct?,1,pb727kvg,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
Which  of  the  following  statements  is  correct? If somebody buys a bond of firm B,2,pb727kvg,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, with the money in this account, would you be able to buy",2,7jonfg2l,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Do you think that the following statement is true or false? ""Bonds are normally riskier than stocks.""",1,7jonfg2l,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less.",0,7jonfg2l,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Normally, which asset described below displays the highest fluctuations over time?",1,7jonfg2l,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"When an investor spreads his money among different assets, does the risk of losing a lot of money",2,7jonfg2l,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Considering  a  long  time  period  (for  example,  10  or 20  years),  which  asset  described  below  normally  gives  the highest return?",1,7jonfg2l,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Do you think that the following statement is true or false? ""If you were to invest $1,000 in a stock mutual fund, it  would  be  possible  to  have  less  than $1,000  when  you withdraw your money.""",0,7jonfg2l,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Do you think that the following statement is true or false?  ""A stock mutual fund combines the money of many investors to buy a variety of stocks.""",0,7jonfg2l,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
Which  of  the  following  statements  is  correct? If somebody buys a bond of firm B,2,7jonfg2l,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Suppose  you  owe  $3,000  on  your  credit  card.  You pay a minimum payment of $30 each month. At an annual percentage rate of 12% (or 1% per month), how many years would it take to eliminate your credit card debt if you made no additional new charges?",1,7jonfg2l,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Suppose you had $100 in a savings account and the interest rate was 3% per year. After 4 years, how much do you think you would have in the account if you left the money to grow?",0,5c7udvpd,vmu7c279,FULL STUDY,23,Male,undergraduate: 4th year
"Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, with the money in this account, would you be able to buy",2,5c7udvpd,vmu7c279,FULL STUDY,23,Male,undergraduate: 4th year
"Do you think that the following statement is true or false? ""Bonds are normally riskier than stocks.""",1,5c7udvpd,vmu7c279,FULL STUDY,23,Male,undergraduate: 4th year
"A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less.",0,5c7udvpd,vmu7c279,FULL STUDY,23,Male,undergraduate: 4th year
"Suppose  you  owe  $3,000  on  your  credit  card.  You pay a minimum payment of $30 each month. At an annual percentage rate of 12% (or 1% per month), how many years would it take to eliminate your credit card debt if you made no additional new charges?",1,pb727kvg,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Do you think that the following statement is true or false?  ""A stock mutual fund combines the money of many investors to buy a variety of stocks.""",0,5c7udvpd,vmu7c279,FULL STUDY,23,Male,undergraduate: 4th year
Which of the following statements is correct?,2,5c7udvpd,vmu7c279,FULL STUDY,23,Male,undergraduate: 4th year
Which  of  the  following  statements  is  correct? If somebody buys a bond of firm B,2,5c7udvpd,vmu7c279,FULL STUDY,23,Male,undergraduate: 4th year
"Suppose  you  owe  $3,000  on  your  credit  card.  You pay a minimum payment of $30 each month. At an annual percentage rate of 12% (or 1% per month), how many years would it take to eliminate your credit card debt if you made no additional new charges?",1,5c7udvpd,vmu7c279,FULL STUDY,23,Male,undergraduate: 4th year
"Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, with the money in this account, would you be able to buy",2,nlp1gb1k,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Do you think that the following statement is true or false? ""Bonds are normally riskier than stocks.""",1,nlp1gb1k,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less.",0,nlp1gb1k,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Normally, which asset described below displays the highest fluctuations over time?",1,nlp1gb1k,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"When an investor spreads his money among different assets, does the risk of losing a lot of money",2,nlp1gb1k,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Considering  a  long  time  period  (for  example,  10  or 20  years),  which  asset  described  below  normally  gives  the highest return?",1,nlp1gb1k,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Do you think that the following statement is true or false?  ""A stock mutual fund combines the money of many investors to buy a variety of stocks.""",0,nlp1gb1k,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
Which of the following statements is correct?,1,nlp1gb1k,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
Which  of  the  following  statements  is  correct? If somebody buys a bond of firm B,2,nlp1gb1k,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Suppose  you  owe  $3,000  on  your  credit  card.  You pay a minimum payment of $30 each month. At an annual percentage rate of 12% (or 1% per month), how many years would it take to eliminate your credit card debt if you made no additional new charges?",3,nlp1gb1k,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Suppose you had $100 in a savings account and the interest rate was 3% per year. After 4 years, how much do you think you would have in the account if you left the money to grow?",0,gcs54w3b,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, with the money in this account, would you be able to buy",2,gcs54w3b,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Do you think that the following statement is true or false? ""Bonds are normally riskier than stocks.""",1,gcs54w3b,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less.",0,gcs54w3b,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Normally, which asset described below displays the highest fluctuations over time?",1,gcs54w3b,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"When an investor spreads his money among different assets, does the risk of losing a lot of money",2,gcs54w3b,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Considering  a  long  time  period  (for  example,  10  or 20  years),  which  asset  described  below  normally  gives  the highest return?",1,gcs54w3b,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Do you think that the following statement is true or false? ""If you were to invest $1,000 in a stock mutual fund, it  would  be  possible  to  have  less  than $1,000  when  you withdraw your money.""",0,gcs54w3b,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Do you think that the following statement is true or false?  ""A stock mutual fund combines the money of many investors to buy a variety of stocks.""",0,gcs54w3b,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
Which of the following statements is correct?,1,gcs54w3b,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
Which  of  the  following  statements  is  correct? If somebody buys a bond of firm B,2,gcs54w3b,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Normally, which asset described below displays the highest fluctuations over time?",1,hre8fq8i,vmu7c279,FULL STUDY,22,Female,undergraduate: 4th year
"Suppose you had $100 in a savings account and the interest rate was 3% per year. After 4 years, how much do you think you would have in the account if you left the money to grow?",0,pb727kvg,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, with the money in this account, would you be able to buy",2,pb727kvg,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Do you think that the following statement is true or false? ""Bonds are normally riskier than stocks.""",1,pb727kvg,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less.",0,pb727kvg,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Normally, which asset described below displays the highest fluctuations over time?",1,pb727kvg,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"When an investor spreads his money among different assets, does the risk of losing a lot of money",2,pb727kvg,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Considering  a  long  time  period  (for  example,  10  or 20  years),  which  asset  described  below  normally  gives  the highest return?",1,pb727kvg,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Do you think that the following statement is true or false? ""If you were to invest $1,000 in a stock mutual fund, it  would  be  possible  to  have  less  than $1,000  when  you withdraw your money.""",0,pb727kvg,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Suppose you had $100 in a savings account and the interest rate was 3% per year. After 4 years, how much do you think you would have in the account if you left the money to grow?",0,galec1ga,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, with the money in this account, would you be able to buy",2,galec1ga,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Do you think that the following statement is true or false? ""Bonds are normally riskier than stocks.""",1,galec1ga,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less.",0,galec1ga,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Normally, which asset described below displays the highest fluctuations over time?",1,galec1ga,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"When an investor spreads his money among different assets, does the risk of losing a lot of money",2,galec1ga,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Considering  a  long  time  period  (for  example,  10  or 20  years),  which  asset  described  below  normally  gives  the highest return?",1,galec1ga,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Do you think that the following statement is true or false? ""If you were to invest $1,000 in a stock mutual fund, it  would  be  possible  to  have  less  than $1,000  when  you withdraw your money.""",0,galec1ga,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Do you think that the following statement is true or false?  ""A stock mutual fund combines the money of many investors to buy a variety of stocks.""",0,galec1ga,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
Which of the following statements is correct?,1,galec1ga,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
Which  of  the  following  statements  is  correct? If somebody buys a bond of firm B,2,galec1ga,vmu7c279,FULL STUDY,20,Male,undergraduate: 3d year
"Suppose you had $100 in a savings account and the interest rate was 3% per year. After 4 years, how much do you think you would have in the account if you left the money to grow?",0,8vrmmtmo,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Do you think that the following statement is true or false? ""Bonds are normally riskier than stocks.""",1,8vrmmtmo,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Suppose you had $100 in a savings account and the interest rate was 3% per year. After 4 years, how much do you think you would have in the account if you left the money to grow?",0,ot80gep3,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, with the money in this account, would you be able to buy",2,ot80gep3,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Do you think that the following statement is true or false? ""Bonds are normally riskier than stocks.""",1,ot80gep3,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less.",0,ot80gep3,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Normally, which asset described below displays the highest fluctuations over time?",1,ot80gep3,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"When an investor spreads his money among different assets, does the risk of losing a lot of money",2,ot80gep3,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Considering  a  long  time  period  (for  example,  10  or 20  years),  which  asset  described  below  normally  gives  the highest return?",1,ot80gep3,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Do you think that the following statement is true or false? ""If you were to invest $1,000 in a stock mutual fund, it  would  be  possible  to  have  less  than $1,000  when  you withdraw your money.""",0,ot80gep3,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Do you think that the following statement is true or false?  ""A stock mutual fund combines the money of many investors to buy a variety of stocks.""",0,ot80gep3,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
Which of the following statements is correct?,1,ot80gep3,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
Which  of  the  following  statements  is  correct? If somebody buys a bond of firm B,2,ot80gep3,vmu7c279,FULL STUDY,21,Female,undergraduate: 3d year
"Suppose you had $100 in a savings account and the interest rate was 3% per year. After 4 years, how much do you think you would have in the account if you left the money to grow?",0,93y42seh,vmu7c279,FULL STUDY,20,Male,undergraduate: 2nd year
"Suppose you had $100 in a savings account and the interest rate was 3% per year. After 4 years, how much do you think you would have in the account if you left the money to grow?",0,mbj7g6v1,vmu7c279,FULL STUDY,21,Male,undergraduate: 3d year
"Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year, with the money in this account, would you be able to buy",2,mbj7g6v1,vmu7c279,FULL STUDY,21,Male,undergraduate: 3d year
"Do you think that the following statement is true or false? ""Bonds are normally riskier than stocks.""",1,mbj7g6v1,vmu7c279,FULL STUDY,21,Male,undergraduate: 3d year
"A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the total interest paid over the life of the loan will be less.",0,mbj7g6v1,vmu7c279,FULL STUDY,21,Male,undergraduate: 3d year
"Normally, which asset described below displays the highest fluctuations over time?",1,mbj7g6v1,vmu7c279,FULL STUDY,21,Male,undergraduate: 3d year
"When an investor spreads his money among different assets, does the risk of losing a lot of money",2,mbj7g6v1,vmu7c279,FULL STUDY,21,Male,undergraduate: 3d year
"Considering  a  long  time  period  (for  example,  10  or 20  years),  which  asset  described  below  normally  gives  the highest return?",1,mbj7g6v1,vmu7c279,FULL STUDY,21,Male,undergraduate: 3d year
"Do you think that the following statement is true or false? ""If you were to invest $1,000 in a stock mutual fund, it  would  be  possible  to  have  less  than $1,000  when  you withdraw your money.""",0,mbj7g6v1,vmu7c279,FULL STUDY,21,Male,undergraduate: 3d year
"Do you think that the following statement is true or false?  ""A stock mutual fund combines the money of many investors to buy a variety of stocks.""",0,mbj7g6v1,vmu7c279,FULL STUDY,21,Male,undergraduate: 3d year
Which of the following statements is correct?,1,mbj7g6v1,vmu7c279,FULL STUDY,21,Male,undergraduate: 3d year
