,id,round_number,owner,name,timestamp,body,balance,tick_number,n_transactions,participant_code,session_code,treatment,player.intermediary_payoff,player.inner_name,round_starts,price,price_shift,trade_direction,capital_gains,trades_within_tick,prev_name,duplicate_order,first_trade,filtered_prob,optimal_trade_count,red_alert,green_alert,player.block_name,player.age,player.payoff,player.gender,player.course_financial,player.trading_experience,player.online_trading_experience,round_block,gamified,salient,ingame_experience,accuracy_pred_zero,player.knowledge,overconfidence,PGR,PLR,PGR_alerts,PLR_alerts,prediction,prediction_accuracy,prediction_confidence,player.sr_prefs,player.sr_better_decs,player.sr_better_have_option,player.sr_notifications,player.sr_badges,player.sr_confetti
0,5293,2,Player object (1525),sell,2023-03-10 13:33:41.744346+00:00,"{""priceA"": 85, ""sharesA"": 0, ""secs_since_round_starts"": 52, ""market"": ""A""}",135.0,8.0,1.0,0nyvn1ih,t7od4xlw,FULL STUDY,215.0,s1,1,85,,1,,1,,0,sell,0.4422758127435268,16,1,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[2, 'block 1 (G first)']",1,0,0,1.0,7.0,-0.30000000000000004,0.3,0.16666666666666666,0.0,0.5,4,1.0,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
1,5295,2,Player object (1525),buy,2023-03-10 13:33:54.010008+00:00,"{""priceA"": 75, ""sharesA"": 1, ""secs_since_round_starts"": 64, ""market"": ""A""}",60.0,10.0,2.0,0nyvn1ih,t7od4xlw,FULL STUDY,215.0,s1,1,75,85.0,-1,,1,sell,0,sell,0.4825575314143953,16,0,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[2, 'block 1 (G first)']",1,0,0,1.0,7.0,-0.30000000000000004,0.3,0.16666666666666666,0.0,0.5,4,1.0,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
2,5301,2,Player object (1525),sell,2023-03-10 13:34:24.307743+00:00,"{""priceA"": 105, ""sharesA"": 0, ""secs_since_round_starts"": 95, ""market"": ""A""}",165.0,16.0,3.0,0nyvn1ih,t7od4xlw,FULL STUDY,215.0,s1,1,105,75.0,1,30.0,1,buy,0,sell,0.5185790363913291,16,0,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[2, 'block 1 (G first)']",1,0,0,1.0,7.0,-0.30000000000000004,0.3,0.16666666666666666,0.0,0.5,4,1.0,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
3,5304,2,Player object (1525),buy,2023-03-10 13:34:43.918100+00:00,"{""priceA"": 130, ""sharesA"": 1, ""secs_since_round_starts"": 114, ""market"": ""A""}",35.0,19.0,4.0,0nyvn1ih,t7od4xlw,FULL STUDY,215.0,s1,1,130,105.0,-1,,1,sell,0,sell,0.5813773703663461,16,0,1,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[2, 'block 1 (G first)']",1,0,0,1.0,7.0,-0.30000000000000004,0.3,0.16666666666666666,0.0,0.5,4,1.0,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
4,5307,2,Player object (1525),sell,2023-03-10 13:35:16.056969+00:00,"{""priceA"": 145, ""sharesA"": 0, ""secs_since_round_starts"": 147, ""market"": ""A""}",180.0,25.0,5.0,0nyvn1ih,t7od4xlw,FULL STUDY,215.0,s1,1,145,130.0,1,15.0,1,buy,0,sell,0.5294358264188312,16,0,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[2, 'block 1 (G first)']",1,0,0,1.0,7.0,-0.30000000000000004,0.3,0.16666666666666666,0.0,0.5,4,1.0,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
5,5311,2,Player object (1525),buy,2023-03-10 13:35:41.656167+00:00,"{""priceA"": 125, ""sharesA"": 1, ""secs_since_round_starts"": 172, ""market"": ""A""}",55.0,30.0,6.0,0nyvn1ih,t7od4xlw,FULL STUDY,215.0,s1,1,125,145.0,-1,,1,sell,0,sell,0.4785999259850118,16,0,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[2, 'block 1 (G first)']",1,0,0,1.0,7.0,-0.30000000000000004,0.3,0.16666666666666666,0.0,0.5,4,1.0,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
6,5314,2,Player object (1525),sell,2023-03-10 13:36:04.692250+00:00,"{""priceA"": 125, ""sharesA"": 0, ""secs_since_round_starts"": 195, ""market"": ""A""}",180.0,34.0,7.0,0nyvn1ih,t7od4xlw,FULL STUDY,215.0,s1,1,125,125.0,1,0.0,1,buy,0,sell,0.4644502626891607,16,0,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[2, 'block 1 (G first)']",1,0,0,1.0,7.0,-0.30000000000000004,0.3,0.16666666666666666,0.0,0.5,4,1.0,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
7,5315,2,Player object (1525),buy,2023-03-10 13:36:12.452502+00:00,"{""priceA"": 140, ""sharesA"": 1, ""secs_since_round_starts"": 203, ""market"": ""A""}",40.0,35.0,8.0,0nyvn1ih,t7od4xlw,FULL STUDY,215.0,s1,1,140,125.0,-1,,1,sell,0,sell,0.5101876173062244,16,0,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[2, 'block 1 (G first)']",1,0,0,1.0,7.0,-0.30000000000000004,0.3,0.16666666666666666,0.0,0.5,4,1.0,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
8,5317,2,Player object (1525),sell,2023-03-10 13:36:21.360675+00:00,"{""priceA"": 145, ""sharesA"": 0, ""secs_since_round_starts"": 212, ""market"": ""A""}",185.0,37.0,9.0,0nyvn1ih,t7od4xlw,FULL STUDY,215.0,s1,1,145,140.0,1,5.0,1,buy,0,sell,0.494384744736363,16,0,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[2, 'block 1 (G first)']",1,0,0,1.0,7.0,-0.30000000000000004,0.3,0.16666666666666666,0.0,0.5,4,1.0,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
9,5319,2,Player object (1525),buy,2023-03-10 13:36:54.092388+00:00,"{""priceA"": 125, ""sharesA"": 1, ""secs_since_round_starts"": 244, ""market"": ""A""}",60.0,43.0,10.0,0nyvn1ih,t7od4xlw,FULL STUDY,215.0,s1,1,125,145.0,-1,,1,sell,0,sell,0.4218732662739463,16,1,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[2, 'block 1 (G first)']",1,0,0,1.0,7.0,-0.30000000000000004,0.3,0.16666666666666666,0.0,0.5,4,1.0,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
10,5321,2,Player object (1525),sell,2023-03-10 13:37:03.674339+00:00,"{""priceA"": 130, ""sharesA"": 0, ""secs_since_round_starts"": 254, ""market"": ""A""}",190.0,44.0,11.0,0nyvn1ih,t7od4xlw,FULL STUDY,215.0,s1,1,130,125.0,1,5.0,1,buy,0,sell,0.4799987600827208,16,0,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[2, 'block 1 (G first)']",1,0,0,1.0,7.0,-0.30000000000000004,0.3,0.16666666666666666,0.0,0.5,4,1.0,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
11,5323,2,Player object (1525),buy,2023-03-10 13:37:08.845605+00:00,"{""priceA"": 140, ""sharesA"": 1, ""secs_since_round_starts"": 259, ""market"": ""A""}",50.0,45.0,12.0,0nyvn1ih,t7od4xlw,FULL STUDY,215.0,s1,1,140,130.0,-1,,1,sell,0,sell,0.5210834711709403,16,0,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[2, 'block 1 (G first)']",1,0,0,1.0,7.0,-0.30000000000000004,0.3,0.16666666666666666,0.0,0.5,4,1.0,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
12,5326,2,Player object (1525),sell,2023-03-10 13:37:25.692355+00:00,"{""priceA"": 155, ""sharesA"": 0, ""secs_since_round_starts"": 276, ""market"": ""A""}",205.0,48.0,13.0,0nyvn1ih,t7od4xlw,FULL STUDY,215.0,s1,1,155,140.0,1,15.0,1,buy,0,sell,0.5347792584548927,16,0,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[2, 'block 1 (G first)']",1,0,0,1.0,7.0,-0.30000000000000004,0.3,0.16666666666666666,0.0,0.5,4,1.0,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
13,5327,2,Player object (1525),buy,2023-03-10 13:37:47.651306+00:00,"{""priceA"": 125, ""sharesA"": 1, ""secs_since_round_starts"": 298, ""market"": ""A""}",80.0,52.0,14.0,0nyvn1ih,t7od4xlw,FULL STUDY,215.0,s1,1,125,155.0,-1,,1,sell,0,sell,0.4439176376077041,16,1,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[2, 'block 1 (G first)']",1,0,0,1.0,7.0,-0.30000000000000004,0.3,0.16666666666666666,0.0,0.5,4,1.0,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
14,5329,2,Player object (1525),sell,2023-03-10 13:37:53.379953+00:00,"{""priceA"": 135, ""sharesA"": 0, ""secs_since_round_starts"": 304, ""market"": ""A""}",215.0,53.0,15.0,0nyvn1ih,t7od4xlw,FULL STUDY,215.0,s1,1,135,125.0,1,10.0,1,buy,0,sell,0.4956940487416096,16,0,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[2, 'block 1 (G first)']",1,0,0,1.0,7.0,-0.30000000000000004,0.3,0.16666666666666666,0.0,0.5,4,1.0,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
15,5331,2,Player object (1525),buy,2023-03-10 13:38:13.284002+00:00,"{""priceA"": 125, ""sharesA"": 1, ""secs_since_round_starts"": 324, ""market"": ""A""}",90.0,56.0,16.0,0nyvn1ih,t7od4xlw,FULL STUDY,215.0,s1,1,125,135.0,-1,,1,sell,0,sell,0.4562406760637778,16,0,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[2, 'block 1 (G first)']",1,0,0,1.0,7.0,-0.30000000000000004,0.3,0.16666666666666666,0.0,0.5,4,1.0,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
16,5343,3,Player object (1705),sell,2023-03-10 13:39:37.470517+00:00,"{""priceA"": 110, ""sharesA"": 0, ""secs_since_round_starts"": 54, ""market"": ""A""}",160.0,11.0,1.0,0nyvn1ih,t7od4xlw,FULL STUDY,195.0,s1,1,110,,1,,1,,0,sell,0.5295922419004607,19,0,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[3, 'block 1 (G first)']",1,1,0,1.0,7.0,-0.30000000000000004,0.23529411764705882,0.0,0.0,0.0,5,0.75,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
17,5347,3,Player object (1705),buy,2023-03-10 13:40:03.463624+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 80, ""market"": ""A""}",60.0,16.0,2.0,0nyvn1ih,t7od4xlw,FULL STUDY,195.0,s1,1,100,110.0,-1,,1,sell,0,sell,0.4486815727575955,19,1,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[3, 'block 1 (G first)']",1,1,0,1.0,7.0,-0.30000000000000004,0.23529411764705882,0.0,0.0,0.0,5,0.75,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
18,5356,3,Player object (1705),sell,2023-03-10 13:41:13.243740+00:00,"{""priceA"": 110, ""sharesA"": 0, ""secs_since_round_starts"": 150, ""market"": ""A""}",170.0,28.0,3.0,0nyvn1ih,t7od4xlw,FULL STUDY,195.0,s1,1,110,100.0,1,10.0,1,buy,0,sell,0.5233413838959273,19,0,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[3, 'block 1 (G first)']",1,1,0,1.0,7.0,-0.30000000000000004,0.23529411764705882,0.0,0.0,0.0,5,0.75,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
19,5363,3,Player object (1705),buy,2023-03-10 13:41:37.096391+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 174, ""market"": ""A""}",70.0,33.0,4.0,0nyvn1ih,t7od4xlw,FULL STUDY,195.0,s1,1,100,110.0,-1,,1,sell,0,sell,0.4476889957041811,19,1,0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,"[3, 'block 1 (G first)']",1,1,0,1.0,7.0,-0.30000000000000004,0.23529411764705882,0.0,0.0,0.0,5,0.75,1.0,Design 1,Design 1,Only trade on Design #1,,2.0,2.0
