,player.inner_name,participant_code,round_number,price,tick_number,filtered_prob,red_alert,green_alert,optimal_trade_sign,name,position_delta,position,position_lag,purchase_price,capital_gains,red_alert_L1,red_alert_L2,red_alert_L3,green_alert_L1,green_alert_L2,green_alert_L3,player.block_name,player.age,player.payoff,player.gender,player.course_financial,player.trading_experience,player.online_trading_experience,ingame_experience,gamified,salient,prediction,prediction_accuracy,player.knowledge,accuracy_pred_zero
0,s1,0nyvn1ih,2,125,5,0.5540606454759774,0,0,0,,0,1,1.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,0,1.0,0.0,4,1.0,7.0,1.0
1,s1,0nyvn1ih,2,110,6,0.5028735207100592,0,0,0,,0,1,1.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,0,1.0,0.0,4,1.0,7.0,1.0
2,s1,0nyvn1ih,2,100,7,0.4669924949471701,0,0,1,,0,1,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,0,1.0,0.0,4,1.0,7.0,1.0
3,s1,0nyvn1ih,2,85,8,0.4422758127435268,1,0,0,sell,-1,0,1.0,100.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,0,1.0,0.0,4,1.0,7.0,1.0
4,s1,0nyvn1ih,2,70,9,0.4254536939069079,0,0,0,,0,0,0.0,100.0,-30.0,1.0,0.0,0.0,0.0,0.0,0.0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,0,1.0,0.0,4,1.0,7.0,1.0
5,s1,0nyvn1ih,2,75,10,0.4825575314143953,0,0,0,buy,1,1,0.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,0,1.0,0.0,4,1.0,7.0,1.0
6,s1,0nyvn1ih,2,65,11,0.4529543903039196,0,0,0,,0,1,1.0,75.0,-10.0,0.0,0.0,1.0,0.0,0.0,0.0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,0,1.0,0.0,4,1.0,7.0,1.0
7,s1,0nyvn1ih,2,80,12,0.502087716794639,0,0,-1,,0,1,1.0,75.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,0,1.0,0.0,4,1.0,7.0,1.0
8,s1,0nyvn1ih,2,90,13,0.5364461838942041,0,0,0,,0,1,1.0,75.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,0,1.0,0.0,4,1.0,7.0,1.0
9,s1,0nyvn1ih,2,105,14,0.5600744319669811,0,1,0,,0,1,1.0,75.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,0,1.0,0.0,4,1.0,7.0,1.0
10,s1,0nyvn1ih,2,120,15,0.5761373211134116,0,0,0,,0,1,1.0,75.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,0,1.0,0.0,4,1.0,7.0,1.0
11,s1,0nyvn1ih,2,105,16,0.5185790363913291,0,0,0,sell,-1,0,1.0,75.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,0,1.0,0.0,4,1.0,7.0,1.0
12,s1,0nyvn1ih,2,110,17,0.5478276073026133,0,0,0,,0,0,0.0,75.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,0,1.0,0.0,4,1.0,7.0,1.0
13,s1,0nyvn1ih,2,125,18,0.5678304910935957,0,0,0,,0,0,0.0,75.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,0,1.0,0.0,4,1.0,7.0,1.0
14,s1,0nyvn1ih,2,130,19,0.5813773703663461,0,1,0,buy,1,1,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,0,1.0,0.0,4,1.0,7.0,1.0
15,s1,0nyvn1ih,2,125,20,0.5223275507294591,0,0,0,,0,1,1.0,130.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,0,1.0,0.0,4,1.0,7.0,1.0
16,s1,0nyvn1ih,2,130,21,0.5504042050217014,0,0,0,,0,1,1.0,130.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,block 1 (G first),23.0,12.0,Male,1.0,1.0,1.0,0,1.0,0.0,4,1.0,7.0,1.0
